iter	RMSE
199	0.7884066074
200	0.7830845015
201	0.7778810657
202	0.7727936054
203	0.7640314809
204	0.7590951198
205	0.7542697571
206	0.7472187126
207	0.7403381546
208	0.7320190195
209	0.7273444469
210	0.7207413802
211	0.7149475314
212	0.7104199911
213	0.7040620656
214	0.6963432014
215	0.6919249994
216	0.6864846697
217	0.6784188819
218	0.6741728465
219	0.6689178488
220	0.6611783102
221	0.6570971289
222	0.6496563975
223	0.645723817
224	0.6386812378
225	0.6356137994
226	0.6312993731
227	0.6271224659
228	0.625182614
229	0.6185744116
230	0.6164603395
231	0.6143973259
232	0.6130173488
233	0.6100653159
234	0.6037006653
235	0.6017010036
236	0.600403367
237	0.5950300269
238	0.5932592011
239	0.5921186421
240	0.5893634395
241	0.5833556684
242	0.5814597129
243	0.5803890233
244	0.5777557458
245	0.5707525928
246	0.5681792705
247	0.5656595582
248	0.5593903612
249	0.5583812447
250	0.5559416982
251	0.5523235302
252	0.5471943287
253	0.5462147244
254	0.5426156315
255	0.5416541755
256	0.5351474313
257	0.5341988621
258	0.5332747048
259	0.529874802
260	0.5235580684
261	0.5226407396
262	0.5217469171
263	0.5194668521
264	0.5132982533
265	0.5094908779
266	0.5055751912
267	0.5034154589
268	0.5000342583
269	0.4968344908
270	0.4960055034
271	0.4916192956
272	0.488210644
273	0.4873882738
274	0.4843351918
275	0.4835292022
276	0.4805594119
277	0.4762938316
278	0.4755055188
279	0.4747373816
280	0.4691241707
281	0.4683657745
282	0.4676268029
283	0.4644273509
284	0.4637018649
285	0.4608728784
286	0.4567721555
287	0.4560623372
288	0.4542136178
289	0.4488576554
290	0.4481726832
291	0.4452758468
292	0.443487781
293	0.4382939311
294	0.4376282404
295	0.4349755251
296	0.4299388548
297	0.4292776488
298	0.4286333856
299	0.423711237
300	0.4205489963
301	0.4199282472
302	0.4168837643
303	0.413905996
304	0.4110257066
305	0.4094067266
306	0.4069443075
307	0.4055647836
308	0.4039907236
309	0.4003132593
310	0.3979444885
311	0.3934254579
312	0.3928418099
313	0.390185509
314	0.3896121233
315	0.3861013705
316	0.3836709086
317	0.3814839357
318	0.3809130907
319	0.3774448253
320	0.3761921705
321	0.3747191849
322	0.3723039332
323	0.3702187363
324	0.3668334646
325	0.3652293447
326	0.3638281176
327	0.3626486617
328	0.3585724573
329	0.3570571352
330	0.3546917258
331	0.3532126035
332	0.3512111307
333	0.3501102346
334	0.3486641506
335	0.3454939516
336	0.343238496
337	0.341094663
338	0.3405954802
339	0.3387199587
340	0.3374470421
341	0.3347625059
342	0.3342819406
343	0.3312521184
344	0.3291368169
345	0.327345071
346	0.3243324727
347	0.3238541979
348	0.3218528196
349	0.3213838551
350	0.3196623698
351	0.3186877318
352	0.3161380119
353	0.3148229999
354	0.3138694896
355	0.3125956493
356	0.3106410278
357	0.3093983529
358	0.3072875875
359	0.3068589824
360	0.3043999399
361	0.3039794179
362	0.3023576345
363	0.2999481898
364	0.2995336713
365	0.2986516922
366	0.2962867109
367	0.2954205461
368	0.2942623785
369	0.2932304162
370	0.2909354747
371	0.2890910361
372	0.2868597967
373	0.286015247
374	0.2856361424
375	0.2838603757
376	0.2816817528
377	0.2808634874
378	0.2804953322
379	0.2783570799
380	0.2775593898
381	0.27678166
382	0.2746796104
383	0.2722146571
384	0.2705477943
385	0.2698065448
386	0.2678534839
387	0.2675129347
388	0.2648737885
389	0.263295755
390	0.2606393222
391	0.2599846352
392	0.2583861668
393	0.2558452656
394	0.2551356175
395	0.2544438394
396	0.2537694651
397	0.2531120428
398	0.2504401594
399	0.2498009613
400	0.2492305011
401	0.2477070985
402	0.2470921635
403	0.2445384743
404	0.243990259
405	0.2434034538
406	0.2428787628
407	0.2413963344
408	0.2394699213
409	0.2389013087
410	0.2374636939
411	0.2356220056
412	0.2331562869
413	0.2326387726
414	0.2321330326
415	0.2297547577
416	0.2292591318
417	0.2278689246
418	0.227389608
419	0.2251875212
420	0.2243037208
421	0.2221071758
422	0.2200385414
423	0.2195735253
424	0.2167672503
425	0.2155787187
426	0.214435271
427	0.2133351556
428	0.2123832516
429	0.2112065309
430	0.2101668402
431	0.2092413293
432	0.2088211324
433	0.2060638542
434	0.2050838533
435	0.2041408693
436	0.2023259672
437	0.2007246589
438	0.1989732209
439	0.1985790082
440	0.1970326423
441	0.1953434932
442	0.194909821
443	0.1938331242
444	0.1934144596
445	0.1923988555
446	0.1907573491
447	0.1882606687
448	0.1858444672
449	0.185434101
450	0.1850344212
451	0.1838237015
452	0.1834342249
453	0.1824263435
454	0.180105077
455	0.177858849
456	0.1756854751
457	0.1735828252
458	0.1731920506
459	0.1728113516
460	0.1707700167
461	0.1703955652
462	0.1685548418
463	0.1681853285
464	0.1669756472
465	0.1657993531
466	0.1646554402
467	0.1635429408
468	0.1624609236
469	0.1615074121
470	0.1596907634
471	0.1586543284
472	0.1577244412
473	0.1567121893
474	0.1558120876
475	0.1548223987
476	0.1539395961
477	0.1530626962
478	0.1520909993
479	0.1512433451
480	0.1501178881
481	0.1492711524
482	0.1484795821
483	0.1476617883
484	0.146627985
485	0.1456164659
486	0.1441198054
487	0.1433230411
488	0.1423560363
489	0.1414099822
490	0.1400056705
491	0.1388600638
492	0.1380923834
493	0.1371565244
494	0.1362550507
495	0.1354167387
496	0.1345785366
497	0.1337986934
498	0.1334684876
499	0.1331466647
500	0.1328330133
501	0.132527327
502	0.1316962056
503	0.1313961245
504	0.1308740852
505	0.1301132901
506	0.1296064061
507	0.1288721835
508	0.1283798978
509	0.127671263
510	0.1271930491
511	0.1266146251
512	0.126149537
513	0.1255871755
514	0.1253276197
515	0.1250739941
516	0.1248261738
517	0.1245840361
518	0.1243474605
519	0.1241163285
520	0.123890524
521	0.1231922764
522	0.1219447162
523	0.1217147606
524	0.1215137542
525	0.1200092155
526	0.1193209679
527	0.1186757682
528	0.1180185699
529	0.1172932376
530	0.1163635043
531	0.1155096636
532	0.1148798211
533	0.113462595
534	0.1120924759
535	0.1114369502
536	0.1101646165
537	0.1090523337
538	0.1083235742
539	0.1071292866
540	0.1063630734
541	0.105632111
542	0.104501091
543	0.1034731061
544	0.102331525
545	0.1017303692
546	0.1006743275
547	0.09971951128
548	0.09865891169
549	0.09808428081
550	0.0970982708
551	0.09632194763
552	0.09523349201
553	0.09492564268
554	0.09447344596
555	0.09417214627
556	0.09387917428
557	0.09283444301
558	0.09234410388
559	0.09205948469
560	0.09182470396
561	0.09125172086
562	0.09039696323
563	0.08972350767
564	0.08917536237
565	0.08867927031
566	0.08787673712
567	0.08743885576
568	0.08680088634
569	0.0865623978
570	0.0860529087
571	0.08545622918
572	0.08469422357
573	0.08447586577
574	0.08375874441
575	0.08352513635
576	0.08329679789
577	0.08284168685
578	0.08227534263
579	0.08208954132
580	0.08135829895
581	0.08106659651
582	0.08062805041
583	0.08013500591
584	0.07932929545
585	0.07904329079
586	0.07861925925
587	0.07814541809
588	0.07741518796
589	0.07652692503
590	0.07632746164
591	0.07587439155
592	0.07517122539
593	0.07449047493
594	0.07369576171
595	0.07324967347
596	0.07262630036
597	0.07241118207
598	0.07161108014
599	0.0714013436
600	0.07092669909
601	0.07072094877
602	0.07022426065
603	0.06996510725
604	0.06971231891
605	0.06911983799
606	0.06879564662
607	0.06822836169
608	0.06768654247
609	0.06748998157
610	0.06697096104
611	0.06658237324
612	0.06612461972
613	0.06592850176
614	0.06573682925
615	0.06554950366
616	0.06506657656
617	0.06471690162
618	0.06453199238
619	0.0641209851
620	0.06393869632
621	0.06377414176
622	0.06343530644
623	0.06327368562
624	0.06310551497
625	0.06295055858
626	0.06261968615
627	0.06246749755
628	0.06201890974
629	0.06185846842
630	0.06166270138
631	0.06150816452
632	0.06106966217
633	0.0609111156
634	0.06035582798
635	0.06019983265
636	0.05963077429
637	0.05947754749
638	0.05894787831
639	0.05876884537
640	0.05822927915
641	0.05789422647
642	0.05760679929
643	0.05745918704
644	0.05730437985
645	0.05675106971
646	0.0562148655
647	0.05601197
648	0.05576615469
649	0.05524762347
650	0.05510306372
651	0.05459957531
652	0.05445325816
653	0.05396433973
654	0.05382049259
655	0.05334568559
656	0.05320424688
657	0.05274311037
658	0.05260402279
659	0.0521561325
660	0.05197940777
661	0.05177004769
662	0.05133644597
663	0.05075924985
664	0.05062758487
665	0.05019453098
666	0.0500655038
667	0.04965328268
668	0.04952637232
669	0.04917934866
670	0.04876472157
671	0.04860385159
672	0.04791041439
673	0.04775489767
674	0.04757098895
675	0.04724436926
676	0.04708952605
677	0.04669640065
678	0.04639147822
679	0.04624079292
680	0.0460934999
681	0.04594460256
682	0.04580002451
683	0.04543848266
684	0.04530311134
685	0.04517103619
686	0.04499822965
687	0.04470407898
688	0.0445740707
689	0.04444723054
690	0.04433734321
691	0.04396487864
692	0.04382697675
693	0.04346544688
694	0.04330644593
695	0.04278242271
696	0.04267742604
697	0.04257485779
698	0.04228953391
699	0.04216427567
700	0.04201467566
701	0.04151622465
702	0.0411973265
703	0.04107609068
704	0.04095779984
705	0.04075727617
706	0.04065870299
707	0.04054242702
708	0.04034766328
709	0.04025137531
710	0.03998133199
711	0.0398661626
712	0.03975379035
713	0.03956427076
714	0.03945353322
715	0.03935975882
716	0.03909566892
717	0.0389863929
718	0.03887948465
719	0.03878815613
720	0.03860365435
721	0.03849822201
722	0.03840899459
723	0.03815114372
724	0.03780521303
725	0.03770285623
726	0.03761530828
727	0.03743719695
728	0.03733603736
729	0.03725049234
730	0.03700209822
731	0.03667001446
732	0.03649825861
733	0.03639956242
734	0.03631557966
735	0.03623354845
736	0.03607265944
737	0.03597553322
738	0.03588032849
739	0.03580006973
740	0.03557718925
741	0.03525976271
742	0.03516724837
743	0.03506548068
744	0.03475646239
745	0.03467866249
746	0.03451879695
747	0.03442117704
748	0.0343307537
749	0.0342425801
750	0.03409241471
751	0.03382137633
752	0.03360276734
753	0.03351464409
754	0.03337080952
755	0.0332768765
756	0.03319037386
757	0.03293183479
758	0.03264541837
759	0.03255389434
760	0.03241614951
761	0.03221125282
762	0.03212590121
763	0.03192548397
764	0.03165059514
765	0.03154608518
766	0.03128360778
767	0.03090440633
768	0.03065593729
769	0.03029282054
770	0.03009509496
771	0.02996655533
772	0.02961720443
773	0.02940878673
774	0.02928520325
775	0.02918859259
776	0.02909429315
777	0.02900224221
778	0.02888141473
779	0.02879111521
780	0.02870295515
781	0.02836138724
782	0.02821383788
783	0.02812703493
784	0.02779765318
785	0.02770502549
786	0.02755956737
787	0.02748557036
788	0.02741322925
789	0.02711454222
790	0.02704299981
791	0.02675201392
792	0.02664614279
793	0.02633555644
794	0.02617747398
795	0.02607562825
796	0.02577681306
797	0.02567727223
798	0.02558099956
799	0.02550010233
800	0.02542113415
801	0.02534404361
802	0.02522181995
803	0.02515695445
804	0.02509354593
805	0.02485907908
806	0.02463058948
807	0.02443738013
808	0.02437391803
809	0.02411437431
810	0.02393300971
811	0.02378617613
812	0.02363607205
813	0.02342167662
814	0.02315321073
815	0.02302212254
816	0.02294105122
817	0.02286264275
818	0.02272355474
819	0.02247498983
820	0.02230838002
821	0.02215000592
822	0.02201431954
823	0.02189436191
824	0.02176324484
825	0.02160206676
826	0.02147354095
827	0.02141546735
828	0.0212900572
829	0.02113267614
830	0.02100973842
831	0.02085549807
832	0.02073497944
833	0.02067912638
834	0.02053100997
835	0.02046530197
836	0.02040117532
837	0.02034827407
838	0.02029655806
839	0.02012132318
840	0.0200704132
841	0.01993438905
842	0.01976450703
843	0.01970541282
844	0.01965697754
845	0.01952704122
846	0.01948041021
847	0.01931329964
848	0.01917050598
849	0.01901393306
850	0.01896408903
851	0.01890796758
852	0.01873970753
853	0.01861428604
854	0.01845084132
855	0.01840324486
856	0.01835683538
857	0.01821095759
858	0.01810114579
859	0.01795037449
860	0.01790604369
861	0.01775160714
862	0.01770835129
863	0.01765715616
864	0.01750693387
865	0.01745793288
866	0.01733369953
867	0.01718749657
868	0.01706494083
869	0.01701884949
870	0.01691448297
871	0.01685497812
872	0.01679686503
873	0.01674010784
874	0.01660672386
875	0.0164922884
876	0.01642887784
877	0.01637234004
878	0.01631710806
879	0.01619283165
880	0.01607139678
881	0.01601715061
882	0.01589138543
883	0.01578289765
884	0.01572921974
885	0.01562152123
886	0.0155300781
887	0.0154770257
888	0.0153517571
889	0.01524883813
890	0.01520719479
891	0.01516693556
892	0.01506755737
893	0.01502907267
894	0.01497727132
895	0.01492356641
896	0.01487108065
897	0.01472920348
898	0.01469269291
899	0.01460519263
900	0.01446093782
901	0.01440384171
902	0.01435092173
903	0.01429919316
904	0.01424395142
905	0.0141931634
906	0.01411547932
907	0.01406549894
908	0.01398939105
909	0.01394778302
910	0.01390708884
911	0.01382459491
912	0.0137844773
913	0.01370358355
914	0.01366403784
915	0.0135847137
916	0.01354573522
917	0.0135076168
918	0.01342953577
919	0.01337796922
920	0.01326762516
921	0.01322971447
922	0.01312193702
923	0.01308461281
924	0.01297934242
925	0.01294259796
926	0.0128200016
927	0.01277058278
928	0.01266953523
929	0.01263292833
930	0.01253864747
931	0.01249365476
932	0.01241094153
933	0.01237543836
934	0.01229412641
935	0.01220422412
936	0.01216916539
937	0.01209044119
938	0.01201325568
939	0.01197856315
940	0.01190268681
941	0.01182829753
942	0.0117939702
943	0.01171037086
944	0.01167667498
945	0.01160446447
946	0.01152657314
947	0.01145796895
948	0.01142450423
949	0.01136215507
950	0.01132927575
951	0.01126106977
952	0.01119523679
953	0.01116271899
954	0.01105564605
955	0.01101327016
956	0.01095388183
957	0.0108908722
958	0.01084900681
959	0.01079133864
960	0.01073003597
961	0.01067681658
962	0.01064515023
963	0.01056124567
964	0.01050969278
965	0.01045436684
966	0.01040397976
967	0.0103630103
968	0.01030879202
969	0.01027772386
970	0.01022846429
971	0.01019797596
972	0.0101447905
973	0.01009653717
974	0.01005727068
975	0.01000514493
976	0.009958061973
977	0.009919520158
978	0.00986449053
979	0.009818904565
980	0.009789418066
981	0.009713252692
982	0.009669074116
983	0.009618806381
984	0.009589582442
985	0.009546300913
986	0.009517572986
987	0.009468236908
988	0.009425825101
989	0.009389243093
990	0.009340884169
991	0.009312929842
992	0.009267808376
993	0.009210185015
994	0.009168803191
995	0.00913333677
996	0.009079973985
997	0.009040022709
998	0.008986004635
999	0.008951100429
