State,Fams Below Pov %,Families (Below Poverty),Ppl (<150% Of Pov) %,People (<150% Of Poverty),Ppl (Below Poverty) %,People (Below Poverty),Below 9th Ed %,People (Education: Less Than 9th Grade),Below HS Ed %,People(Education: Less Than High School),Below Bach Ed %,People (Education: At Least Bachelor's Degree),Median Fam Income (Dollars),Median Household Income (Dollars),Vast Majority Income (Dollars),Language Isolation %,Households (language Isolation),Unemployed %,People (Unemployed)
Alabama,11.3,143938.0,25.2,1236800.0,15.6,768185.0,3.7,127353.0,11.9,409381.0,27.8,957081.0,"80,385","62,027","19,991",1.3,24834.0,4.8,112849.0
Alaska,6.8,11664.0,17.3,123987.0,10.2,72978.0,2.1,10288.0,6.5,31854.0,31.2,152432.0,"108,134","89,336","28,007",2.2,5837.0,5.8,20644.0
Arizona,8.9,161583.0,20.8,1481677.0,12.8,907125.0,4.7,232566.0,10.9,544528.0,32.6,1627462.0,"92,100","76,872","24,090",3.5,97290.0,5.2,182184.0
Arkansas,11.5,89060.0,26.9,793503.0,16.0,471783.0,4.3,88834.0,11.4,233857.0,25.1,513221.0,"74,536","58,773","18,935",1.5,18381.0,5.1,71269.0
California,8.4,772253.0,19.6,7554796.0,12.0,4610600.0,8.7,2343992.0,15.4,4149146.0,36.5,9834361.0,"110,108","96,334","26,984",8.3,1118772.0,6.4,1282259.0
Colorado,5.9,84646.0,15.4,878544.0,9.4,534188.0,3.1,126261.0,7.2,292446.0,44.7,1806355.0,"114,822","92,470","30,124",2.3,54602.0,4.5,143373.0
Connecticut,6.8,62462.0,15.8,555311.0,10.0,351948.0,4.0,101530.0,8.7,219549.0,41.9,1062403.0,"120,011","93,760","30,021",5.1,72026.0,5.6,109838.0
Delaware,7.3,18805.0,17.1,167745.0,10.7,105246.0,3.1,22160.0,8.6,61144.0,35.3,250626.0,"102,219","82,855","26,777",2.6,10189.0,5.1,25640.0
District of Columbia,10.7,14228.0,19.9,128715.0,14.5,94140.0,2.9,14044.0,7.2,34651.0,63.6,307906.0,"150,381","106,287","40,197",3.0,9650.0,6.5,25748.0
Florida,8.9,492997.0,21.3,4566189.0,12.6,2707698.0,4.3,674025.0,10.4,1643437.0,33.2,5263931.0,"86,127","71,711","23,262",6.9,587622.0,4.8,516132.0
Georgia,9.9,263089.0,22.1,2337691.0,13.5,1423159.0,4.3,309239.0,11.0,801324.0,34.2,2480907.0,"90,337","74,664","22,700",2.8,111508.0,5.1,276950.0
Hawaii,6.9,22929.0,15.6,219940.0,10.0,140461.0,3.2,33240.0,7.1,72950.0,35.5,364398.0,"115,643","98,317","27,143",5.4,26186.0,5.0,35378.0
Idaho,7.0,33569.0,19.4,357775.0,10.6,196060.0,3.2,39301.0,8.3,103570.0,31.2,388032.0,"89,174","74,636","22,724",1.8,12471.0,3.7,34229.0
Illinois,8.2,255492.0,18.6,2313812.0,11.7,1454217.0,4.5,396353.0,9.7,851323.0,37.2,3249494.0,"103,504","81,702","25,790",4.3,215981.0,5.8,384790.0
Indiana,8.4,143434.0,20.5,1353442.0,12.2,807582.0,3.6,163174.0,9.8,445651.0,28.8,1313086.0,"88,451","70,051","22,411",1.9,49951.0,4.3,148579.0
Iowa,6.9,55842.0,18.5,574002.0,11.0,340362.0,2.7,57376.0,6.8,145119.0,30.9,660619.0,"94,472","73,147","24,267",1.9,25001.0,3.6,61411.0
Kansas,7.7,57001.0,19.1,545567.0,11.5,328475.0,3.4,66345.0,8.1,156595.0,35.2,679664.0,"93,497","72,639","23,741",2.4,28100.0,3.9,59154.0
Kentucky,11.8,136096.0,25.6,1120901.0,16.1,707480.0,4.4,135815.0,11.5,352966.0,27.0,830856.0,"79,436","62,417","20,089",1.6,28793.0,4.8,103267.0
Louisiana,14.2,159527.0,28.6,1285806.0,18.9,848769.0,4.5,139039.0,13.1,407400.0,26.6,825794.0,"77,568","60,023","19,027",1.9,33779.0,6.3,135734.0
Maine,6.5,23318.0,18.2,242925.0,10.8,144263.0,1.8,18224.0,5.5,56031.0,35.3,359323.0,"93,307","71,773","25,121",0.9,5440.0,3.9,28048.0
Maryland,6.3,96111.0,15.0,906277.0,9.3,564966.0,4.0,169933.0,9.0,382701.0,42.7,1826045.0,"124,487","101,652","30,931",3.5,82163.0,4.9,162773.0
Massachusetts,6.6,114026.0,15.6,1054072.0,10.0,676516.0,4.2,209811.0,8.6,425209.0,46.6,2305899.0,"128,134","101,341","31,718",6.0,166052.0,5.1,199882.0
Michigan,8.8,221941.0,20.8,2048809.0,13.1,1284470.0,2.6,181599.0,8.1,564902.0,31.8,2213104.0,"90,947","71,149","23,316",1.8,71716.0,5.8,290715.0
Minnesota,5.5,78258.0,15.3,856127.0,9.2,514300.0,2.7,104575.0,6.1,239636.0,38.8,1513374.0,"111,492","87,556","28,409",2.2,50206.0,3.9,122323.0
Mississippi,14.3,105525.0,30.2,860926.0,19.1,543697.0,4.5,87856.0,13.4,263266.0,24.2,475997.0,"70,821","54,915","17,328",0.8,9227.0,6.0,79706.0
Missouri,8.4,129737.0,21.1,1263460.0,12.6,756528.0,2.7,113643.0,8.4,354732.0,31.9,1345230.0,"88,759","68,920","22,647",1.1,27213.0,4.1,127719.0
Montana,7.1,19391.0,20.4,220202.0,12.0,129998.0,1.6,12656.0,5.4,41822.0,34.5,266066.0,"88,127","69,922","23,517",0.4,1898.0,3.8,21045.0
Nebraska,6.7,32975.0,17.9,342503.0,10.3,197300.0,3.7,48210.0,7.9,102256.0,34.1,440234.0,"96,902","74,985","24,335",2.5,19763.0,3.0,31428.0
