avg GDP from 2019-2023,avg realGDP from 2019-2023,g_va death rate
-0.348223136803752,-0.349387779906922,24.659999999999997
-0.6880181585362651,-0.6849572282779889,23.8
-0.05215965129330525,-0.05693793372950434,17.74
-0.5328446055273778,-0.5323475521268254,21.8
4.835349291853214,4.894958228438434,8.26
-0.03555230730660747,-0.03139637893515931,16.22
-0.28254499264328714,-0.27572414813959295,6.22
-0.641499450221259,-0.6385174314179687,12.960000000000004
1.4207011039700912,1.3880032385081744,13.64
0.40742835630446844,0.4048416561904728,18.42
-0.6259524801009957,-0.6221373278236422,4.4
-0.6199478498155939,-0.6182046010173099,16.6
0.8138747411416167,0.7978116634796856,13.78
-0.07527468404121743,-0.07641986794872845,17.099999999999998
-0.41742751754022245,-0.4187269119200712,10.64
-0.46352536280306805,-0.4620634779132809,16.2
-0.38235238938440735,-0.38214809764098917,18.660000000000004
-0.3286633371670597,-0.33705268041126146,26.8
-0.6543627033896158,-0.6501671861941959,12.04
-0.033986527468351097,-0.03187780421390546,13.44
0.29255234961581306,0.3050372397870102,3.5799999999999996
0.1862563085881459,0.19462949149793102,14.2
-0.08597212416599043,-0.0874683662172402,9.1
-0.5698073519180031,-0.5692898765761968,29.139999999999997
-0.17102388838527688,-0.17149194571663642,22.660000000000004
-0.684653535488342,-0.681880970492238,22.08
-0.5323736184759184,-0.531396603625593,10.72
-0.44034962579215264,-0.44158796151142315,17.880000000000003
-0.6225838563908592,-0.6171449863739404,9.52
0.38101297561063596,0.38343744776410393,4.779999999999999
-0.5931450000269175,-0.5897475214694291,25.08
2.4392538661106715,2.4240784519279424,4.92
0.3298004324932123,0.32304162400032843,15.919999999999998
-0.6763452842246086,-0.6728809892938624,14.44
0.4939232354296901,0.4809865903244457,15.12
-0.41652452509638893,-0.41671940719859507,20.04
-0.3282561623310665,-0.3238822629175991,13.82
0.6374977775929064,0.6353883918817949,13.679999999999998
-0.6746414650083358,-0.6691673634984313,4.64
-0.32123989351891824,-0.32345961095072445,20.839999999999996
-0.6815523940699786,-0.6795591851582532,13.8
-0.04560253286259715,-0.04971902339589665,21.0
2.8190111059306404,2.759620079703107,14.52
-0.3950892084014983,-0.396135777381671,13.76
-0.7237011889685375,-0.7181164307148825,11.36
0.24856457263215948,0.25868429477406235,13.62
0.35430918354089075,0.36756191028855806,11.64
-0.6398871502860278,-0.6384172772727233,17.0
-0.16019869157627503,-0.16120503165486968,12.48
-0.7142526497840788,-0.7107433095284961,23.24
