Median Fam Income (Dollars),Median Household Income (Dollars),Vast Majority Income (Dollars),g_va death rate
-1.1703416767002466,-1.2643717890293602,-1.3463953095884365,24.659999999999997
0.786961620693646,0.9482026829963902,0.943794947481131,23.8
-0.34401250703757585,-0.061630273879692866,-0.1753012647121693,17.74
-1.5829067055826163,-1.5280107846707895,-1.648097020100595,21.8
0.9261996728416708,1.5151804615762066,0.6515214154224774,8.26
1.258706348538626,1.2021192817487687,1.5486268803923429,16.22
1.6247176213836623,1.3066350483060654,1.5191995355223122,6.22
0.36974121620754286,0.42311223101356815,0.5923810233050373,12.960000000000004
-0.7653239991754446,-0.4797743600829555,-0.41186283318193,13.64
-0.46836746445245325,-0.24052237663822876,-0.5724275692688932,18.42
1.3166163996093092,1.675843070167772,0.6969480934257286,4.4
-0.5504008254697547,-0.24279093591234063,-0.5655707122117987,16.6
0.46037996849235135,0.32969620090460444,0.3103927768320254,13.78
-0.6013983491288337,-0.6142675170481591,-0.6549955563314063,17.099999999999998
-0.17670112927915885,-0.3634296773106468,-0.12473194391609727,10.64
-0.2454737234252198,-0.4045878241409621,-0.2750113944174187,16.2
-1.2372803350024126,-1.232773999139945,-1.3183964766053005,18.660000000000004
-1.3690415717868658,-1.4267358170765096,-1.6218124013817325,26.8
-0.2588755622844522,-0.47475112169027917,0.11925788636551582,12.04
1.9404367305095789,1.9460446837093106,1.779188698937146,13.44
2.1976815006128447,1.9208474717718538,2.0040364699343702,3.5799999999999996
-0.42534050811491764,-0.5253075855133437,-0.3964349048034674,14.2
1.0238214885320793,0.8039871291421358,1.0586473031874641,9.1
-1.8449479232776076,-1.8405858446537748,-2.1072207405485486,29.139999999999997
-0.579673262978078,-0.7059011077274635,-0.5875697952699769,22.660000000000004
-0.6242520111835247,-0.6247190937038888,-0.3390087269503008,22.08
-0.005298663868976183,-0.2145149649600177,-0.10530418225432948,10.72
-0.5108301328380211,-0.16784745989257355,-0.3624363218953737,17.880000000000003
1.5347842290388132,1.4579803598789574,1.8720419715853007,9.52
1.8984678140819828,1.8972706593159054,1.6226237961334877,4.779999999999999
-1.4695553632311087,-1.2564318315699687,-1.338681345399205,25.08
0.570133975150065,0.5627096463455235,0.48695684605220907,4.92
-0.7074844840987574,-0.6261774532372464,-0.5338577483227366,15.919999999999998
0.45184511321884024,-0.1364117099513091,0.21553958754221794,14.44
-0.47182372815825524,-0.6443259274301414,-0.4538610826566339,15.12
-1.1544005420571597,-1.1366843098864923,-1.2241146920702508,20.04
0.13083580454322652,0.22631471398436356,0.3909608472528859,13.82
0.026230925447217914,-0.12571707337335314,0.07154558934323317,13.679999999999998
0.917100529616192,0.7080594798368339,0.7249469264088645,4.64
-0.9450497118771506,-0.8762050932340044,-0.8167031019278852,20.839999999999996
-0.2396897719175511,-0.4222501784894045,-0.3007246083815231,13.8
-0.9004004276777079,-0.8536005204669612,-0.8161316971731274,21.0
-0.3685590329481699,-0.10862185884343871,-0.5681420336082091,14.52
0.6020867804302349,1.1437849004144636,-0.00016570737888028296,13.76
0.36162957689800745,0.03170473625519544,0.5798101187003639,11.36
1.0699520286054371,1.0809134005319345,1.115216373908494,13.62
1.2055222090656723,1.4032108574039708,1.5837682728099522,11.64
-1.5515181882544142,-1.5973638824793523,-1.5666718425475976,17.0
0.020023757975573438,-0.15901628271835236,0.29239352705715227,12.48
-0.12492770968612425,-0.22828836055283977,0.05183212530408644,23.24
